rec_yds_per_g,gs,rec_yds_per_rec,g,rec_long,rec_td,age,year,catch_pct,pos,rec_yds_per_tgt,fumbles,player,team,rec,rec_yds,rec_per_g,targets
21.1,0,9.4,16,67,2,25,2008,66.7%,,6.3,2,Jerious Norwood,ATL,36,338,2.3,54
26.5,3,11.0,15,31,2,29,2008,61.0%,te,6.7,0,Jerramy Stevens,TAM,36,397,2.4,59
28.7,11,11.9,15,38,2,27,2008,92.3%,,11.0,0,Roy Williams,2TM,36,430,2.4,39
45.4,9,13.0,10,33,4,31,2008,53.0%,WR,6.9,0,Plaxico Burress,NYG,35,454,3.5,66
27.8,12,12.7,16,36,2,29,2008,52.2%,WR,6.6,0,Rashied Davis,CHI,35,445,2.2,67
25.2,16,11.5,16,30,3,28,2008,54.7%,TE,6.3,1,Todd Heap,BAL,35,403,2.2,64
27.7,7,9.5,12,26,1,27,2008,52.2%,wr,5.0,2,Shaun McDonald,DET,35,332,2.9,67
28.4,16,13.4,16,24,7,24,2008,64.2%,TE,8.6,0,Anthony Fasano,MIA,34,454,2.1,53
54.3,11,19.1,12,56,6,27,2008,45.9%,WR,8.8,0,Justin Gage,TEN,34,651,2.8,74
14.8,7,7.0,16,26,0,22,2008,68.0%,rb,4.7,2,Tim Hightower,ARI,34,237,2.1,50
28.0,2,13.2,16,56,4,28,2008,66.7%,wr,8.8,0,Jerheme Urban,ARI,34,448,2.1,51
29.3,6,13.3,15,90,3,26,2008,63.5%,wr,8.5,1,Hank Baskett,PHI,33,440,2.2,52
25.6,15,11.6,15,28,6,24,2008,60.0%,TE,7.0,0,Kevin Boss,NYG,33,384,2.2,55
15.9,13,7.7,16,39,0,27,2008,76.7%,RB,5.9,1,Ronnie Brown,MIA,33,254,2.1,43
33.0,9,14.0,14,48,5,30,2008,50.8%,WR,7.1,0,Chris Chambers,SDG,33,462,2.4,65
43.3,8,11.8,9,32,2,30,2008,52.4%,WR,6.2,0,Kevin Curtis,PHI,33,390,3.7,63
22.9,2,11.1,16,29,2,23,2008,61.1%,wr,6.8,0,Jordy Nelson,GNB,33,366,2.1,54
21.0,4,8.3,13,40,0,21,2008,76.7%,rb,6.3,1,Ray Rice,BAL,33,273,2.5,43
23.4,7,10.6,15,30,1,29,2008,57.9%,te,6.2,2,Robert Royal,BUF,33,351,2.2,57
25.1,6,11.8,15,31,2,25,2008,56.1%,wr,6.6,0,Jason Avant,PHI,32,377,2.1,57
24.3,16,12.2,16,28,4,30,2008,64.0%,TE,7.8,0,Daniel Graham,DEN,32,389,2.0,50
49.6,13,24.8,16,84,3,26,2008,57.1%,WR,14.2,1,Devery Henderson,NOR,32,793,2.0,56
23.9,2,11.2,15,31,3,25,2008,71.1%,wr,8.0,0,Chansi Stuckey,NYJ,32,359,2.1,45
22.4,16,11.5,16,57,2,24,2008,63.3%,TE,7.3,2,Vernon Davis,SFO,31,358,1.9,49
12.9,15,6.7,16,31,0,31,2008,73.8%,TE,4.9,0,Reggie Kelly,CIN,31,207,1.9,42
28.1,7,14.5,16,61,3,29,2008,68.9%,te/wr,10.0,1,David Martin,MIA,31,450,1.9,45
33.3,12,12.9,12,90,2,28,2008,53.4%,WR,6.9,0,Koren Robinson,SEA,31,400,2.6,58
18.9,5,9.2,15,24,3,24,2008,75.6%,rb,6.9,1,Pierre Thomas,NOR,31,284,2.1,41
31.7,8,12.7,12,56,3,26,2008,47.6%,,6.0,0,Mark Bradley,2TM,30,380,2.5,63
51.5,8,13.7,8,63,4,29,2008,50.8%,WR,7.0,0,Deion Branch,SEA,30,412,3.8,59
19.8,2,10.6,16,33,2,23,2008,75.0%,wr,7.9,1,Jason Hill,SFO,30,317,1.9,40
14.2,0,6.2,13,18,0,23,2008,76.9%,,4.7,1,Brandon Jackson,GNB,30,185,2.3,39
29.4,10,13.7,14,37,0,30,2008,41.7%,WR,5.7,2,Justin McCareins,TEN,30,412,2.1,72
23.2,3,8.8,11,35,1,25,2008,72.5%,rb,6.4,0,J.J. Arrington,ARI,29,255,2.6,40
21.9,5,9.8,13,27,0,21,2008,74.4%,rb,7.3,3,Darren McFadden,OAK,29,285,2.2,39
21.4,0,11.8,16,66,5,25,2008,85.3%,,10.1,3,Darren Sproles,SDG,29,342,1.8,34
13.7,3,7.6,16,47,1,31,2008,74.4%,rb,5.6,5,Ricky Williams,MIA,29,219,1.8,39
13.6,16,7.8,16,29,0,27,2008,80.0%,RB,6.2,3,Clinton Portis,WAS,28,218,1.8,35
19.9,7,11.8,16,44,1,23,2008,71.1%,te,8.4,0,Brent Celek,PHI,27,318,1.7,38
17.0,2,10.1,16,75,1,22,2008,69.2%,rb,7.0,2,Jamaal Charles,KAN,27,272,1.7,39
35.8,2,17.2,13,49,4,27,2008,73.0%,wr,12.6,0,Malcom Floyd,SDG,27,465,2.1,37
23.1,2,12.5,14,59,2,30,2008,81.3%,rb,10.1,0,Correll Buckhalter,PHI,26,324,1.9,32
33.1,5,14.0,11,32,2,27,2008,52.0%,wr,7.3,0,Brandon Lloyd,CHI,26,364,2.4,50
17.2,12,8.2,12,55,2,25,2008,64.1%,RB,5.3,1,Joseph Addai,IND,25,206,2.1,39
35.3,0,13.3,9,36,0,28,2008,57.1%,,7.6,1,Arnaz Battle,SFO,24,318,2.7,42
17.1,15,10.7,15,28,1,31,2008,58.5%,TE,6.3,1,Alge Crumpler,TEN,24,257,1.6,41
13.3,8,7.2,13,35,0,27,2008,75.0%,RB,5.4,3,Willis McGahee,BAL,24,173,1.8,32
17.8,1,9.7,13,22,1,26,2008,53.3%,wr,5.2,2,Roscoe Parrish,BUF,24,232,1.8,45
20.0,0,13.9,16,69,1,24,2008,59.0%,,8.2,1,Harry Douglas,ATL,23,320,1.4,39
16.3,6,11.3,16,33,1,28,2008,63.9%,te,7.2,3,Michael Gaines,DET,23,260,1.4,36
17.4,10,7.6,10,24,0,28,2008,69.7%,fb/RB,5.3,2,Earnest Graham,TAM,23,174,2.3,33
17.8,11,10.8,14,51,0,32,2008,54.8%,TE,5.9,0,Steve Heiden,CLE,23,249,1.6,42
11.1,16,7.7,16,18,0,29,2008,71.9%,RB,5.6,2,Jamal Lewis,CLE,23,178,1.4,32
20.8,6,11.8,13,30,2,32,2008,48.9%,wr,5.8,2,Dane Looker,STL,23,271,1.8,47
15.4,0,9.1,13,27,0,29,2008,62.9%,,5.7,1,Ladell Betts,WAS,22,200,1.7,35
22.9,3,16.6,16,84,4,25,2008,52.4%,wr,8.7,1,Johnnie Lee Higgins,OAK,22,366,1.4,42
14.9,9,9.5,14,29,2,28,2008,46.8%,TE,4.4,1,Ben Watson,NWE,22,209,1.6,47
7.6,16,5.5,16,25,2,25,2008,73.3%,RB,4.0,0,DeAngelo Williams,CAR,22,121,1.4,30
10.4,0,7.1,15,17,1,26,2008,59.5%,,4.2,1,Jason Wright,CLE,22,156,1.5,37
12.1,13,9.2,16,29,0,29,2008,70.0%,TE,6.5,0,Chris Baker,NYJ,21,194,1.3,30
19.4,1,9.2,10,25,0,29,2008,67.7%,wr,6.3,1,Antonio Chatman,CIN,21,194,2.1,31
11.6,3,8.8,16,50,0,24,2008,70.0%,rb,6.2,0,Tashard Choice,DAL,21,185,1.3,30
10.6,0,8.0,16,14,1,32,2008,58.3%,,4.7,1,Brian Finneran,ATL,21,169,1.3,36
12.2,15,9.3,16,31,1,25,2008,61.8%,TE,5.7,0,Jeff King,CAR,21,195,1.3,34
7.8,15,6.0,16,16,0,23,2008,53.8%,RB,3.2,9,Adrian Peterson+,MIN,21,125,1.3,39
17.9,12,11.9,14,34,3,26,2008,55.3%,TE,6.6,0,Alex Smith,TAM,21,250,1.5,38
17.7,7,14.2,16,37,4,21,2008,74.1%,fb/te,10.5,0,Martellus Bennett,DAL,20,283,1.3,27
15.4,10,9.3,12,79,0,26,2008,76.9%,RB,7.1,2,Cedric Benson,CIN,20,185,1.7,26
27.4,2,13.7,10,46,1,24,2008,66.7%,wr,9.1,0,James Jones,GNB,20,274,2.0,30
26.6,1,16.0,12,48,3,23,2008,46.5%,wr,7.4,0,Josh Morgan,SFO,20,319,1.7,43
5.5,6,3.6,13,12,0,27,2008,58.8%,rb,2.1,5,Chris Perry,CIN,20,71,1.5,34
15.9,7,11.1,14,62,2,26,2008,62.5%,fb,6.9,1,Leonard Weaver,SEA,20,222,1.4,32
15.1,1,12.7,16,65,2,25,2008,65.5%,wr,8.3,0,David Anderson,HOU,19,241,1.2,29
10.8,0,8.5,15,25,0,24,2008,63.3%,,5.4,1,Michael Bush,OAK,19,162,1.3,30
17.2,2,14.5,16,80,2,25,2008,70.4%,fb,10.2,0,Patrick Cobbs,MIA,19,275,1.2,27
13.9,10,9.5,13,16,2,29,2008,39.6%,WR,3.8,0,Ronald Curry,OAK,19,181,1.5,48
18.3,0,9.6,10,30,0,26,2008,90.5%,,8.7,1,Kenneth Darby,STL,19,183,1.9,21
18.3,1,11.6,12,22,2,25,2008,41.3%,wr,4.8,0,Chris Henry,CIN,19,220,1.6,46
15.4,0,13.0,16,52,1,28,2008,54.3%,,7.1,0,Greg Lewis,PHI,19,247,1.2,35
7.7,16,6.5,16,25,1,24,2008,63.3%,FB/rb,4.1,4,Le'Ron McClain+,BAL,19,123,1.2,30
10.5,6,7.2,13,13,2,29,2008,70.4%,rb,5.0,1,Maurice Morris,SEA,19,136,1.5,27
11.1,14,8.7,15,23,0,24,2008,79.2%,RB/te,6.9,0,Gijon Robinson,IND,19,166,1.3,24
11.4,5,9.6,16,53,0,24,2008,46.3%,wr,4.4,1,Syndric Steptoe,CLE,19,182,1.2,41
25.2,3,14.0,10,40,1,27,2008,51.4%,wr,7.2,0,Reggie Brown,PHI,18,252,1.8,35
20.1,2,10.1,9,25,0,31,2008,51.4%,wr,5.2,1,Mike Furrey,DET,18,181,2.0,35
7.3,14,6.4,16,17,1,26,2008,81.8%,RB,5.3,4,Ryan Grant,GNB,18,116,1.1,22
9.8,6,7.1,13,20,1,30,2008,78.3%,fb/rb,5.6,0,Deuce McAllister,NOR,18,128,1.4,23
11.0,5,7.3,12,27,0,23,2008,66.7%,rb,4.9,1,Antonio Pittman,STL,18,132,1.5,27
13.1,6,11.6,16,24,1,24,2008,58.1%,te,6.7,0,Dante Rosario,CAR,18,209,1.1,31
15.4,9,14.5,16,68,1,26,2008,51.5%,WR,7.5,0,Devard Darling,KAN,17,247,1.1,33
12.4,7,9.5,13,42,0,31,2008,70.8%,rb,6.7,1,Sammy Morris,NWE,17,161,1.3,24
12.6,1,11.9,16,36,0,25,2008,85.0%,fb,10.1,1,Michael Robinson,SFO,17,202,1.1,20
8.5,13,8.0,16,13,0,25,2008,65.4%,TE,5.2,0,Matt Spaeth,PIT,17,136,1.1,26
15.5,7,10.0,11,19,1,28,2008,37.8%,wr,3.8,0,Donte' Stallworth,CLE,17,170,1.5,45
8.3,2,8.3,16,31,1,28,2008,80.0%,rb,6.7,2,DeShaun Foster,SFO,16,133,1.0,20
24.1,1,13.6,9,32,0,24,2008,53.3%,wr,7.2,0,Mike Sims-Walker,JAX,16,217,1.8,30
2.3,5,2.3,16,7,0,27,2008,76.2%,fb,1.8,1,Naufahu Tahi,MIN,16,37,1.0,21
7.5,13,6.1,13,17,0,32,2008,72.7%,RB,4.5,1,Fred Taylor,JAX,16,98,1.2,22
12.3,6,7.7,10,14,0,27,2008,57.1%,te,4.4,1,Ben Utecht,CIN,16,123,1.6,28
9.2,10,9.8,16,36,1,29,2008,71.4%,TE,7.0,0,John Gilmore,TAM,15,147,0.9,21
7.9,11,8.5,16,17,2,28,2008,78.9%,fb/TE,6.7,0,Brandon Manumaleuna,SDG,15,127,0.9,19
11.5,1,9.9,13,17,1,26,2008,57.7%,wr,5.7,0,Ruvell Martin,GNB,15,149,1.2,26
9.9,11,10.6,16,18,2,29,2008,65.2%,TE,6.9,0,Justin Peelle,ATL,15,159,0.9,23
10.8,3,9.4,13,23,4,22,2008,48.4%,wr,4.5,0,Sidney Rice,MIN,15,141,1.2,31
14.1,6,15.1,16,60,2,23,2008,46.9%,wr,7.1,0,Chaz Schilens,OAK,15,226,0.9,32
9.6,12,10.2,16,21,1,23,2008,75.0%,fb/TE,7.7,1,Derek Schouman,BUF,15,153,0.9,20
27.1,4,16.3,9,36,0,26,2008,44.1%,wr,7.2,1,John Standeford,DET,15,244,1.7,34
7.5,1,8.0,16,18,0,22,2008,55.6%,wr,4.4,0,Devin Thomas,WAS,15,120,0.9,27
24.5,7,13.1,8,29,1,30,2008,46.9%,wr,6.1,0,Javon Walker,OAK,15,196,1.9,32
16.2,5,15.1,13,51,2,32,2008,28.6%,wr,4.3,0,Marty Booker,CHI,14,211,1.1,49
12.9,0,6.4,7,12,0,23,2008,82.4%,,5.3,0,Early Doucet,ARI,14,90,2.0,17
14.9,6,12.8,12,47,1,22,2008,73.7%,fb/rb,9.4,0,Peyton Hillis,DEN,14,179,1.2,19
4.4,10,4.7,15,17,0,27,2008,56.0%,RB,2.6,4,Julius Jones,SEA,14,66,0.9,25
6.6,4,5.1,10,18,0,28,2008,72.2%,fb,3.7,0,B.J. Askew,TAM,13,66,1.3,18
23.2,0,21.4,12,63,3,24,2008,56.5%,,12.1,1,Miles Austin,DAL,13,278,1.1,23
13.2,1,13.2,13,30,1,24,2008,44.8%,wr,5.9,0,Keenan Burton,STL,13,172,1.0,29
17.8,0,16.4,12,49,0,29,2008,46.4%,,7.6,0,Andre' Davis,HOU,13,213,1.1,28
15.3,4,10.6,9,22,0,37,2008,46.4%,wr,4.9,0,Joey Galloway,TAM,13,138,1.4,28
20.1,2,13.9,9,37,0,27,2008,46.4%,wr,6.5,1,D.J. Hackett,CAR,13,181,1.4,28
8.6,11,10.6,16,54,2,29,2008,72.2%,FB,7.7,1,Ahmard Hall,TEN,13,138,0.8,18
9.7,7,8.9,12,22,1,27,2008,81.3%,fb,7.3,0,Greg Jones,JAX,13,116,1.1,16
13.2,7,13.2,13,67,1,23,2008,86.7%,fb,11.4,0,Mike Tolbert,SDG,13,171,1.0,15
25.7,0,13.8,7,70,1,25,2008,56.5%,,7.8,0,Demetrius Williams,BAL,13,180,1.9,23
13.4,4,10.1,9,29,2,33,2008,75.0%,te,7.6,0,Mark Campbell,NOR,12,121,1.3,16
8.9,7,9.7,13,28,1,26,2008,44.4%,,4.3,0,Keary Colbert,3TM,12,116,0.9,27
6.1,1,7.1,14,16,1,28,2008,42.9%,te,3.0,0,Casey Fitzsimmons,DET,12,85,0.9,28
13.1,0,8.8,8,20,0,30,2008,66.7%,,5.8,0,Dante Hall,STL,12,105,1.5,18
7.7,0,9.7,15,23,1,25,2008,66.7%,,6.4,0,Jerome Harrison,CLE,12,116,0.8,18
5.7,3,7.6,16,16,1,23,2008,92.3%,fb,7.0,1,Jacob Hester,SDG,12,91,0.8,13
15.8,2,15.8,12,48,1,30,2008,57.1%,wr,9.0,0,Darrell Jackson,DEN,12,190,1.0,21
6.5,7,7.1,13,16,0,30,2008,66.7%,rb,4.7,2,Edgerrin James,ARI,12,85,0.9,18
6.2,12,6.2,12,20,0,29,2008,70.6%,RB,4.4,5,Larry Johnson,KAN,12,74,1.0,17
6.3,4,7.3,14,34,1,29,2008,85.7%,rb,6.3,1,Rudi Johnson,DET,12,88,0.9,14
6.4,12,8.6,16,22,0,27,2008,66.7%,FB,5.7,0,Vonta Leach,HOU,12,103,0.8,18
20.6,3,24.1,14,74,3,24,2008,60.0%,wr,14.5,0,Robert Meachem,NOR,12,289,0.9,20
15.3,0,12.8,10,27,2,25,2008,80.0%,,10.2,0,Sinorice Moss,NYG,12,153,1.2,15
6.1,6,8.2,16,20,1,33,2008,80.0%,fb,6.5,1,Mike Sellers,WAS,12,98,0.8,15
4.3,1,5.3,15,18,0,25,2008,60.0%,wr,3.2,2,Brad Smith,NYJ,12,64,0.8,20
11.1,4,7.1,7,15,0,23,2008,57.9%,wr,4.1,0,Andre Caldwell,CIN,11,78,1.6,19
4.8,3,7.0,16,13,0,26,2008,64.7%,te,4.5,1,Joel Dreessen,HOU,11,77,0.7,17
4.0,1,2.9,8,8,0,31,2008,78.6%,rb,2.3,0,Ahman Green,HOU,11,32,1.4,14
10.1,7,14.7,16,37,0,25,2008,64.7%,te,9.5,0,Tory Humphrey,GNB,11,162,0.7,17
8.4,3,7.6,10,19,1,29,2008,64.7%,te,4.9,0,Nate Jackson,DEN,11,84,1.1,17
7.7,10,11.2,16,29,0,25,2008,57.9%,TE,6.5,1,Joe Klopfenstein,STL,11,123,0.7,19
15.2,6,17.9,13,51,2,28,2008,24.4%,wr,4.4,0,Ashley Lelie,OAK,11,197,0.8,45
5.8,8,5.8,11,12,1,28,2008,73.3%,FB,4.3,1,Jason McKie,CHI,11,64,1.0,15
34.8,4,12.6,4,31,0,29,2008,52.4%,te,6.6,0,Randy McMichael,STL,11,139,2.8,21
10.4,3,9.5,10,19,0,24,2008,61.1%,te/wr,5.8,0,Ben Patrick,ARI,11,104,1.1,18
32.4,3,14.7,5,39,1,34,2008,55.0%,wr,8.1,0,David Patten,NOR,11,162,2.2,20
18.1,6,16.5,10,33,1,30,2008,37.9%,wr,6.2,0,Jerry Porter,JAX,11,181,1.1,29
5.1,4,7.4,16,17,0,29,2008,73.3%,te,5.4,0,Tony Stewart,OAK,11,81,0.7,15
7.3,0,10.9,15,21,0,22,2008,47.6%,,5.2,2,Aundrae Allison,MIN,10,109,0.7,21
8.1,3,5.7,7,12,0,27,2008,71.4%,rb,4.1,0,Tatum Bell,DEN,10,57,1.4,14
7.1,1,11.3,16,23,0,26,2008,66.7%,te,7.5,1,Greg Estandia,JAX,10,113,0.6,15
3.7,14,5.2,14,12,0,28,2008,66.7%,RB,3.5,3,Justin Fargas,OAK,10,52,0.7,15
9.4,5,9.4,10,20,1,25,2008,83.3%,te,7.8,0,Derek Fine,BUF,10,94,1.0,12
13.2,1,11.9,9,25,0,22,2008,52.6%,wr,6.3,0,Dwayne Jarrett,CAR,10,119,1.1,19
9.3,1,10.2,11,21,2,22,2008,71.4%,wr,7.3,0,Steve Johnson,BUF,10,102,0.9,14
14.0,3,11.2,8,40,0,33,2008,76.9%,rb,8.6,0,Michael Pittman,DEN,10,112,1.3,13
10.7,2,6.4,6,13,1,23,2008,76.9%,rb/te,4.9,0,Tom Santi,IND,10,64,1.7,13
7.4,3,5.2,7,8,0,24,2008,90.9%,rb,4.7,0,Kolby Smith,KAN,10,52,1.4,11
6.5,8,7.8,12,21,0,25,2008,66.7%,FB,5.2,0,Lawrence Vickers,CLE,10,78,0.8,15
10.3,2,15.5,15,53,1,24,2008,62.5%,te,9.7,2,Delanie Walker,SFO,10,155,0.7,16
4.1,6,5.9,13,12,0,22,2008,100.0%,fb,5.9,0,Jerome Felton,DET,9,53,0.7,9
12.1,3,9.4,7,24,1,28,2008,69.2%,fb,6.5,0,Justin Griffith,OAK,9,85,1.3,13
6.2,3,9.7,14,17,2,23,2008,37.5%,wr,3.6,0,James Hardy,BUF,9,87,0.6,24
1.5,8,2.0,12,7,0,27,2008,75.0%,FB,1.5,0,Mike Karney,NOR,9,18,0.8,12
5.9,8,8.6,13,25,0,25,2008,69.2%,te/wr,5.9,0,Leonard Pope,ARI,9,77,0.7,13
8.7,0,5.8,6,12,1,33,2008,75.0%,,4.3,0,Aaron Stecker,NOR,9,52,1.5,12
9.8,4,10.9,10,26,0,24,2008,36.0%,wr,3.9,0,Courtney Taylor,SEA,9,98,0.9,25
6.2,10,10.3,15,18,0,25,2008,52.9%,TE,5.5,0,David Thomas,NWE,9,93,0.6,17
5.1,5,9.0,16,29,1,33,2008,40.9%,fb/wr,3.7,0,James Thrash,WAS,9,81,0.6,22
7.2,2,12.6,14,43,0,28,2008,72.7%,wr,9.2,0,Sam Aiken,NWE,8,101,0.6,11
4.2,6,7.9,15,17,0,28,2008,72.7%,te,5.7,0,Richard Angulo,JAX,8,63,0.5,11
1.2,5,2.4,16,5,0,23,2008,61.5%,fb,1.5,0,Mike Cox,KAN,8,19,0.5,13
2.0,6,4.0,16,8,0,25,2008,66.7%,fb/te,2.7,1,Tony Curtis,DAL,8,32,0.5,12
3.3,10,6.5,16,13,1,27,2008,53.3%,FB,3.5,0,Madison Hedgecock,NYG,8,52,0.5,15
3.6,13,7.1,16,18,0,28,2008,80.0%,FB,5.7,0,Ovie Mughelli,ATL,8,57,0.5,10
4.0,0,8.0,16,18,0,25,2008,72.7%,,5.8,0,Legedu Naanee,SDG,8,64,0.5,11
3.5,7,7.0,16,19,1,28,2008,66.7%,te,4.7,0,John Owens,DET,8,56,0.5,12
5.6,1,11.1,16,27,0,25,2008,72.7%,fb,8.1,0,Jason Snelling,ATL,8,89,0.5,11
2.9,0,5.9,16,15,0,21,2008,47.1%,,2.8,2,Jonathan Stewart,CAR,8,47,0.5,17
3.1,2,6.3,16,14,1,30,2008,80.0%,wr,5.0,0,Todd Yoder,WAS,8,50,0.5,10
3.9,7,9.0,16,19,0,24,2008,63.6%,te,5.7,0,Brad Cottam,KAN,7,63,0.4,11
6.8,1,11.6,12,26,0,25,2008,63.6%,te,7.4,0,Daniel Fells,STL,7,81,0.6,11
6.4,1,11.9,13,42,0,23,2008,41.2%,wr,4.9,0,Will Franklin,KAN,7,83,0.5,17
3.5,5,5.4,11,11,1,25,2008,100.0%,fb,5.4,0,Korey Hall,GNB,7,38,0.6,7
5.2,1,9.7,13,19,0,22,2008,58.3%,wr,5.7,0,Lavelle Hawkins,TEN,7,68,0.5,12
31.0,2,17.7,4,34,0,28,2008,38.9%,wr,6.9,1,Billy McMullen,SEA,7,124,1.8,18
2.2,5,5.0,16,13,0,38,2008,46.7%,fb,2.3,0,Lorenzo Neal,BAL,7,35,0.4,15
7.2,1,6.1,6,25,0,26,2008,100.0%,rb,6.1,1,Cadillac Williams,TAM,7,43,1.2,7
2.4,11,6.5,16,11,0,31,2008,54.5%,TE/wr,3.5,0,Anthony Becht,STL,6,39,0.4,11
1.1,1,1.8,10,8,0,24,2008,60.0%,rb,1.1,0,Lorenzo Booker,PHI,6,11,0.6,10
5.3,1,12.3,14,35,1,21,2008,50.0%,te,6.2,0,Jermichael Finley,GNB,6,74,0.4,12
5.9,4,7.8,8,25,0,30,2008,50.0%,te,3.9,0,Bubba Franks,NYJ,6,47,0.8,12
3.3,0,7.2,13,15,0,24,2008,100.0%,,7.2,0,Quinton Ganther,TEN,6,43,0.5,6
2.4,11,6.5,16,12,0,32,2008,54.5%,FB,3.5,0,Brad Hoover,CAR,6,39,0.4,11
7.0,2,7.0,6,18,0,23,2008,100.0%,fb,7.0,1,Tony Hunt,PHI,6,42,1.0,6
2.8,13,6.0,13,9,0,26,2008,50.0%,RB,3.0,3,Brandon Jacobs,NYG,6,36,0.5,12
11.8,0,7.8,4,16,0,24,2008,85.7%,,6.7,0,James Johnson,CIN,6,47,1.5,7
2.3,3,6.0,16,12,0,27,2008,75.0%,fb,4.5,0,Dan Klecko,PHI,6,36,0.4,8
5.8,11,15.3,16,34,0,31,2008,46.2%,TE,7.1,0,Jim Kleinsasser,MIN,6,92,0.4,13
1.9,7,5.0,16,12,0,28,2008,54.5%,fb,2.7,0,Luke Lawton,OAK,6,30,0.4,11
3.0,0,7.5,15,19,0,29,2008,60.0%,,4.5,0,Adrian Peterson,CHI,6,45,0.4,10
2.2,5,4.0,11,9,0,27,2008,75.0%,fb,3.0,0,Lousaka Polite,MIA,6,24,0.5,8
1.9,1,4.8,15,7,0,23,2008,75.0%,fb,3.6,0,Owen Schmitt,SEA,6,29,0.4,8
11.9,0,19.8,10,80,1,23,2008,50.0%,,9.9,2,Derek Stanley,STL,6,119,0.6,12
5.8,0,10.7,11,17,0,24,2008,60.0%,,6.4,2,Limas Sweed,PIT,6,64,0.5,10
2.6,16,6.8,16,18,0,26,2008,66.7%,RB,4.6,3,Michael Turner+,ATL,6,41,0.4,9
2.8,0,8.4,15,18,1,22,2008,83.3%,,7.0,3,Ahmad Bradshaw,NYG,5,42,0.3,6
12.0,1,9.6,4,19,1,23,2008,62.5%,wr,6.0,1,Michael Bumpus,SEA,5,48,1.3,8
60.0,1,12.0,1,20,1,27,2008,55.6%,wr,6.7,0,Nate Burleson,SEA,5,60,5.0,9
1.9,3,5.4,14,14,0,27,2008,83.3%,fb,4.5,2,Carey Davis,PIT,5,27,0.4,6
2.9,2,8.2,14,22,1,31,2008,45.5%,te,3.7,0,Darnell Dinkins,CLE,5,41,0.4,11
8.1,0,13.0,8,23,0,25,2008,45.5%,,5.9,0,Garrett Mills,MIN,5,65,0.6,11
2.7,0,7.0,13,16,0,29,2008,83.3%,,5.8,1,Travis Minor,STL,5,35,0.4,6
8.7,0,10.4,6,23,0,23,2008,83.3%,,8.7,0,Laurent Robinson,ATL,5,52,0.8,6
9.2,1,9.2,5,15,0,26,2008,38.5%,wr,3.5,0,Jeff Webb,KAN,5,46,1.0,13
1.0,2,3.2,16,7,0,24,2008,50.0%,rb,1.6,1,LenDale White,TEN,5,16,0.3,10
1.5,1,3.8,13,8,2,31,2008,71.4%,te,2.7,0,Daniel Wilcox,BAL,5,19,0.4,7
3.8,1,6.0,8,10,1,25,2008,38.5%,wr,2.3,0,Troy Williamson,JAX,5,30,0.6,13
12.1,0,19.4,8,31,0,24,2008,62.5%,,12.1,0,Dominique Zeigler,SFO,5,97,0.6,8
0.9,4,3.3,15,12,0,24,2008,66.7%,fb,2.2,0,Charles Ali,CLE,4,13,0.3,6
3.9,0,6.8,7,15,0,29,2008,100.0%,,6.8,1,Aveion Cason,DET,4,27,0.6,4
0.8,0,2.8,14,5,0,24,2008,100.0%,,2.8,0,Tim Castille,ARI,4,11,0.3,4
9.0,0,13.5,6,33,0,29,2008,100.0%,,13.5,0,Najeh Davenport,2TM,4,54,0.7,4
14.8,0,14.8,4,20,0,23,2008,57.1%,,8.4,0,Craig Davis,SDG,4,59,1.0,7
1.6,0,5.8,14,12,0,22,2008,100.0%,,5.8,0,Pierre Garcon,IND,4,23,0.3,4
2.4,0,7.3,12,14,0,27,2008,66.7%,,4.8,1,Will Heller,SEA,4,29,0.3,6
2.9,2,11.5,16,26,2,25,2008,66.7%,te,7.7,1,Darcy Johnson,NYG,4,46,0.3,6
1.3,3,5.3,16,13,2,26,2008,57.1%,fb,3.0,0,John Kuhn,GNB,4,21,0.3,7
3.7,0,6.5,7,11,0,22,2008,66.7%,,4.3,0,Mario Manningham,NYG,4,26,0.6,6
1.5,8,4.0,11,6,0,30,2008,57.1%,FB,2.3,0,Moran Norris,DET,4,16,0.4,7
2.7,0,6.0,9,13,0,23,2008,80.0%,,4.8,4,Clifton Smith,TAM,4,24,0.4,5
2.4,1,8.0,10,12,0,29,2008,60.0%,fb,4.8,0,Jameel Cook,TAM,3,24,0.3,5
2.5,2,9.0,11,15,0,22,2008,30.0%,te/wr,2.7,0,Fred Davis,WAS,3,27,0.3,10
3.7,4,19.7,16,28,0,30,2008,75.0%,fb,14.8,0,Heath Evans,NWE,3,59,0.2,4
3.1,0,8.3,8,9,0,29,2008,60.0%,,5.0,0,Robert Ferguson,MIN,3,25,0.4,5
0.1,0,0.3,16,3,0,30,2008,100.0%,,0.3,0,Nick Goings,CAR,3,1,0.2,3
4.1,3,12.3,9,20,0,23,2008,50.0%,rb,6.2,0,BenJarvus Green-Ellis,NWE,3,37,0.3,6
10.2,0,17.0,5,20,0,24,2008,50.0%,,8.5,0,Derek Hagan,2TM,3,51,0.6,6
3.1,0,8.3,8,11,0,26,2008,100.0%,,8.3,2,Andre Hall,DEN,3,25,0.4,3
2.4,11,8.7,11,17,0,28,2008,50.0%,TE,4.3,0,Ben Hartsock,ATL,3,26,0.3,6
1.7,2,8.7,15,10,1,24,2008,27.3%,wr,2.4,1,Glenn Holt,CIN,3,26,0.2,11
