rec_yds_per_g,gs,rec_yds_per_rec,g,rec_long,rec_td,age,year,catch_pct,pos,rec_yds_per_tgt,fumbles,player,team,rec,rec_yds,rec_per_g,targets
2.3,0,8.0,7,12,0,24,2006,40.0%,,3.2,0,Chris Francies,GNB,2,16,0.3,5
1.2,0,8.5,14,13,0,29,2006,22.2%,,1.9,0,Rod Gardner,KAN,2,17,0.1,9
0.0,2,0.0,3,0,0,34,2006,100.0%,fb,0.0,0,Chris Hetherington,SFO,2,0,0.7,2
1.5,0,4.5,6,6,0,29,2006,40.0%,,1.8,0,James Hodgins,NYJ,2,9,0.3,5
0.8,5,5.0,12,6,0,22,2006,100.0%,fb,5.0,0,Oliver Hoyte,DAL,2,10,0.2,2
-0.6,8,-3.0,10,-2,0,33,2006,100.0%,QB,-3.0,9,Damon Huard,KAN,2,-6,0.2,2
2.1,15,15.5,15,17,0,23,2006,100.0%,RCB,15.5,4,Adam Jones,TEN,2,31,0.1,2
7.5,0,7.5,2,8,0,27,2006,100.0%,,7.5,0,Josh McCown,DET,2,15,1.0,2
0.1,1,0.5,10,4,1,24,2006,33.3%,wr,0.2,0,Clarence Moore,BAL,2,1,0.2,6
1.8,0,14.5,16,15,0,30,2006,50.0%,,7.3,1,Sean Morey,PIT,2,29,0.1,4
1.9,4,11.5,12,14,0,29,2006,100.0%,fb/te,11.5,0,Chad Mustard,DEN,2,23,0.2,2
8.0,0,12.0,3,16,0,29,2006,100.0%,,12.0,1,Patrick Pass,NWE,2,24,0.7,2
0.9,0,6.0,13,7,0,24,2006,66.7%,,4.0,2,Alvin Pearman,JAX,2,12,0.2,3
1.3,1,7.5,12,8,0,28,2006,50.0%,rb,3.8,1,Artose Pinner,MIN,2,15,0.2,4
1.8,0,10.5,12,12,0,25,2006,25.0%,,2.6,0,Lousaka Polite,DAL,2,21,0.2,8
2.3,0,14.0,12,21,0,23,2006,28.6%,,4.0,0,Courtney Roby,TEN,2,28,0.2,7
4.7,0,7.0,3,9,0,27,2006,100.0%,,7.0,0,Cliff Russell,MIA,2,14,0.7,2
0.9,3,7.5,16,9,0,24,2006,100.0%,te,7.5,0,Quinn Sypniewski,BAL,2,15,0.1,2
1.5,9,12.0,16,19,0,28,2006,100.0%,te/wr,12.0,1,Fred Wakefield,ARI,2,24,0.1,2
4.3,1,15.0,7,29,0,22,2006,50.0%,te,7.5,0,Delanie Walker,SFO,2,30,0.3,4
8.0,1,16.0,4,16,0,22,2006,33.3%,wr,5.3,0,Travis Wilson,CLE,2,32,0.5,6
4.5,0,9.0,2,9,0,26,2006,50.0%,,4.5,0,James Adkisson,OAK,1,9,0.5,2
3.0,0,27.0,9,27,0,23,2006,100.0%,,27.0,0,David Anderson,HOU,1,27,0.1,1
0.0,2,0.0,16,0,0,32,2006,100.0%,te,0.0,0,Eric Beverly,ATL,1,0,0.1,1
12.5,0,25.0,2,25,0,24,2006,100.0%,,25.0,0,John Bronson,ARI,1,25,0.5,1
