year,team,g,points,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,score_pct,turnover_pct,exp_pts_def_tot
2018,Green Bay Packers,16,400,5670,1017,5.6,15,8,331,336,527,3752,30,7,6.6,199,446,1918,15,4.3,100,97,792,32,37.9,8.2,-105.40
2018,New York Giants,16,412,5942,1034,5.7,21,5,346,362,560,4044,24,16,6.9,205,444,1898,18,4.3,103,110,919,38,40.9,11.6,-107.20
2018,Kansas City Chiefs,16,421,6488,1109,5.9,27,12,419,406,632,4374,30,15,6.4,247,425,2114,19,5.0,129,107,881,43,40.8,14.9,-163.28
2018,Atlanta Falcons,16,423,6152,1031,6.0,19,4,375,398,585,4153,33,15,6.7,226,409,1999,16,4.9,115,108,1001,34,41.5,10.5,-159.71
2018,Arizona Cardinals,16,425,5741,1065,5.4,16,9,357,342,506,3262,21,7,5.9,186,510,2479,25,4.9,139,100,790,32,38.0,8.6,-85.72
2018,Miami Dolphins,16,433,6257,1024,6.1,28,7,350,335,508,3932,31,21,7.3,195,485,2325,17,4.8,116,107,856,39,39.9,14.2,-124.79
2018,San Francisco 49ers,16,435,5546,1023,5.4,7,5,337,344,542,3732,35,2,6.4,195,444,1814,13,4.1,104,117,1011,38,39.8,3.9,-126.92
2018,New York Jets,16,441,6086,1061,5.7,20,7,343,367,582,4065,29,13,6.5,201,440,2021,16,4.6,104,95,817,38,39.1,9.9,-73.31
2018,Cincinnati Bengals,16,455,6618,1084,6.1,18,6,372,389,584,4414,32,12,7.1,221,466,2204,17,4.7,125,113,944,26,46.3,10.2,-164.84
2018,Tampa Bay Buccaneers,16,464,6134,998,6.1,17,8,356,387,534,4151,34,9,7.3,209,426,1983,19,4.7,122,127,1156,25,40.7,8.2,-152.18
2018,Oakland Raiders,16,467,6102,973,6.3,17,3,317,299,480,3853,36,14,7.8,178,480,2249,16,4.7,108,117,991,31,44.3,9.8,-186.07
