year,player,team,age,pos,g,gs,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td,kick_ret_long,kick_ret_yds_per_ret,all_purpose_yds
2018,Keenan Allen*,LAC,26,WR,16,14,1,0,0,0,0.0,1,25,0,25,25.0,1277
2018,Antony Auclair,TAM,25,TE,16,10,,,,,,2,19,0,10,9.5,67
2018,Kalen Ballage,MIA,23,,12,0,,,,,,2,26,0,16,13.0,267
2018,Giovani Bernard,CIN,27,rb,12,4,,,,,,2,25,0,14,12.5,454
2018,T.J. Carrie,CLE,28,CB,16,8,,,,,,2,33,0,19,16.5,33
2018,Jamison Crowder,WAS,25,wr,9,7,2,20,0,11,10.0,,,,,,438
2018,Quandre Diggs,DET,25,cb/SS,16,16,2,4,0,4,2.0,,,,,,45
2018,Josh Jackson,GNB,22,CB,16,10,2,0,0,0,0.0,,,,,,0
2018,Jeremy Kerley,BUF,30,wr,1,1,2,10,0,6,5.0,,,,,,17
2018,Jourdan Lewis,DAL,23,cb,15,1,,,,,,2,38,0,19,19.0,71
2018,Matt Longacre,LAR,27,lb,13,7,,,,,,2,30,0,16,15.0,30
2018,Jordy Nelson,OAK,33,WR,15,14,2,7,0,7,3.5,,,,,,744
2018,Lucas Patrick,GNB,25,lg/rg,14,4,,,,,,2,23,0,15,11.5,23
2018,Darius Phillips,CIN,23,db,15,1,2,24,0,16,12.0,,,,,,24
2018,Jalen Richard,OAK,25,rb,16,1,2,3,0,3,1.5,,,,,,869
2018,Calvin Ridley,ATL,24,wr,16,5,,,,,,2,50,0,32,25.0,898
2018,Jaylen Samuels,PIT,22,rb,14,3,1,0,0,0,0.0,1,0,0,0,0.0,455
2018,Wendell Smallwood,PHI,24,rb,16,6,,,,,,2,33,0,17,16.5,627
2018,Kenny Stills,MIA,26,WR,15,15,2,6,0,6,3.0,,,,,,559
2018,Luke Willson,DET,28,TE,14,8,,,,,,2,35,0,20,17.5,122
2018,Nelson Agholor,PHI,25,WR,16,16,1,0,0,0,0.0,,,,,,768
