year,player,team,age,pos,g,gs,targets,rec,catch_pct,rec_yds,rec_yds_per_rec,rec_td,rec_long,rec_yds_per_tgt,rec_per_g,rec_yds_per_g,fumbles
2018,Marcell Ateman,OAK,24,wr,7,6,31,15,48.4%,154,10.3,1,32,5.0,2.1,22.0,0
2018,Alex Collins,BAL,24,RB,10,10,21,15,71.4%,105,7.0,1,24,5.0,1.5,10.5,3
2018,Tyler Eifert,CIN,28,te,4,2,19,15,78.9%,179,11.9,1,29,9.4,3.8,44.8,0
2018,Derrick Henry,TEN,24,RB,16,12,18,15,83.3%,99,6.6,0,21,5.5,0.9,6.2,1
2018,Justin Jackson,LAC,23,rb,13,1,19,15,78.9%,135,9.0,0,19,7.1,1.2,10.4,0
2018,Marshawn Lynch,OAK,32,rb,6,6,20,15,75.0%,84,5.6,0,17,4.2,2.5,14.0,0
2018,Darren Sproles,PHI,35,rb,6,2,23,15,65.2%,160,10.7,2,37,7.0,2.5,26.7,0
2018,Luke Stocker,TEN,30,TE,16,11,21,15,71.4%,165,11.0,2,31,7.9,0.9,10.3,0
2018,Josh Bellamy,CHI,29,wr,16,2,25,14,56.0%,117,8.4,1,20,4.7,0.9,7.3,0
2018,Jaron Brown,SEA,28,wr,16,2,19,14,73.7%,166,11.9,5,45,8.7,0.9,10.4,0
2018,Rex Burkhead,NWE,28,rb/wr,8,4,20,14,70.0%,131,9.4,1,25,6.6,1.8,16.4,2
2018,DJ Chark,JAX,22,,11,0,32,14,43.8%,174,12.4,0,38,5.4,1.3,15.8,1
2018,Royce Freeman,DEN,22,RB,14,8,20,14,70.0%,72,5.1,0,9,3.6,1.0,5.1,1
2018,Wayne Gallman,NYG,24,rb,15,2,22,14,63.6%,89,6.4,0,21,4.0,0.9,5.9,2
2018,Justin Hardy,ATL,27,,16,0,22,14,63.6%,133,9.5,2,19,6.0,0.9,8.3,1
2018,Jordan Leggett,NYJ,23,te,15,4,24,14,58.3%,114,8.1,1,16,4.8,0.9,7.6,0
2018,Cody Core,CIN,24,wr,14,3,28,13,46.4%,160,12.3,1,30,5.7,0.9,11.4,0
2018,Andre Holmes,2TM,30,,15,3,24,13,54.2%,162,12.5,0,24,6.8,0.9,10.8,0
2018,Hayden Hurst,BAL,25,,12,0,23,13,56.5%,163,12.5,1,32,7.1,1.1,13.6,0
2018,Chris Ivory,BUF,30,rb,13,1,21,13,61.9%,205,15.8,0,55,9.8,1.0,15.8,1
2018,Keith Kirkwood,NOR,25,wr,8,1,21,13,61.9%,209,16.1,2,42,10.0,1.6,26.1,0
2018,Damion Ratley,CLE,23,wr,13,3,20,13,65.0%,144,11.1,0,27,7.2,1.0,11.1,0
2018,Luke Willson,DET,28,TE,14,8,19,13,68.4%,87,6.7,0,13,4.6,0.9,6.2,0
2018,Dan Arnold,NOR,23,te,10,1,19,12,63.2%,150,12.5,1,25,7.9,1.2,15.0,1
2018,Travis Benjamin,LAC,29,wr,12,3,24,12,50.0%,186,15.5,1,46,7.8,1.0,15.5,0
2018,James Develin,NWE,30,fb/rb/te,16,8,17,12,70.6%,61,5.1,0,11,3.6,0.8,3.8,0
2018,Ed Dickson,SEA,31,te,10,1,13,12,92.3%,143,11.9,3,42,11.0,1.2,14.3,0
2018,Frank Gore,MIA,35,RB,14,14,16,12,75.0%,124,10.3,1,24,7.8,0.9,8.9,1
2018,Demetrius Harris,KAN,27,te,15,3,25,12,48.0%,164,13.7,3,35,6.6,0.8,10.9,0
2018,Brandon LaFell,OAK,32,wr,6,5,16,12,75.0%,135,11.3,2,24,8.4,2.0,22.5,0
2018,Eli Rogers,PIT,26,wr,3,3,14,12,85.7%,79,6.6,0,17,5.6,4.0,26.3,1
2018,Dalton Schultz,DAL,22,te,11,7,17,12,70.6%,116,9.7,0,17,6.8,1.1,10.5,0
2018,Logan Thomas,BUF,27,te,12,3,17,12,70.6%,77,6.4,0,24,4.5,1.0,6.4,0
2018,Jeff Wilson,SFO,23,rb,6,2,15,12,80.0%,98,8.2,0,24,6.5,2.0,16.3,3
2018,Darren Fells,CLE,32,TE,16,11,12,11,91.7%,117,10.6,3,49,9.8,0.7,7.3,0
2018,C.J. Ham,MIN,25,rb/te,15,2,15,11,73.3%,85,7.7,0,17,5.7,0.7,5.7,0
2018,Darius Jennings,TEN,26,,16,0,15,11,73.3%,101,9.2,0,36,6.7,0.7,6.3,0
2018,Andy Jones,DET,24,wr,8,3,24,11,45.8%,80,7.3,1,15,3.3,1.4,10.0,0
2018,Cody Latimer,NYG,26,wr,6,2,16,11,68.8%,190,17.3,1,39,11.9,1.8,31.7,0
2018,Brandon Marshall,SEA,34,wr,7,2,23,11,47.8%,136,12.4,1,27,5.9,1.6,19.4,0
2018,Marcus Murphy,BUF,27,rb,11,1,19,11,57.9%,26,2.4,0,8,1.4,1.0,2.4,1
2018,Bilal Powell,NYJ,30,rb,7,7,18,11,61.1%,110,10.0,1,28,6.1,1.6,15.7,2
2018,Brandon Powell,DET,22,wr,6,1,17,11,64.7%,129,11.7,0,41,7.6,1.8,21.5,0
2018,Austin Seferian-Jenkins,JAX,26,te,5,5,19,11,57.9%,90,8.2,1,21,4.7,2.2,18.0,0
2018,LeGarrette Blount,DET,32,RB,16,8,15,10,66.7%,67,6.7,0,23,4.5,0.6,4.2,2
2018,Deontay Burnett,NYJ,21,wr,5,1,15,10,66.7%,143,14.3,0,29,9.5,2.0,28.6,0
2018,Michael Floyd,WAS,29,wr,13,3,24,10,41.7%,100,10.0,1,20,4.2,0.8,7.7,0
2018,Marvin Hall,ATL,25,,16,0,19,10,52.6%,149,14.9,1,47,7.8,0.6,9.3,0
2018,Carlos Hyde,2TM,28,,14,7,16,10,62.5%,33,3.3,0,9,2.1,0.7,2.4,2
2018,Niles Paul,JAX,29,te,6,1,13,10,76.9%,98,9.8,0,22,7.5,1.7,16.3,0
2018,Andre Roberts+,NYJ,30,wr,16,1,17,10,58.8%,79,7.9,1,20,4.6,0.6,4.9,3
2018,Russell Shepard,NYG,28,,12,0,19,10,52.6%,188,18.8,2,49,9.9,0.8,15.7,0
2018,Lee Smith,OAK,31,te,16,4,11,10,90.9%,73,7.3,3,30,6.6,0.6,4.6,0
2018,Kalen Ballage,MIA,23,,12,0,11,9,81.8%,56,6.2,0,31,5.1,0.8,4.7,1
2018,Austin Carr,NOR,25,wr,14,2,14,9,64.3%,97,10.8,2,25,6.9,0.6,6.9,0
2018,Corey Grant,JAX,27,rb,5,1,12,9,75.0%,67,7.4,0,16,5.6,1.8,13.4,0
2018,Jermaine Gresham,ARI,30,TE,13,11,12,9,75.0%,94,10.4,0,26,7.8,0.7,7.2,1
2018,Dontrell Hilliard,CLE,23,,11,0,10,9,90.0%,105,11.7,0,24,10.5,0.8,9.5,0
2018,Richie James,SFO,23,wr,13,2,14,9,64.3%,130,14.4,1,53,9.3,0.7,10.0,2
2018,Cameron Meredith,NOR,26,wr,6,1,10,9,90.0%,114,12.7,1,46,11.4,1.5,19.0,1
2018,Logan Paulsen,ATL,31,TE,15,10,9,9,100.0%,91,10.1,1,19,10.1,0.6,6.1,0
2018,Rashaad Penny,SEA,22,,14,0,12,9,75.0%,75,8.3,0,24,6.3,0.6,5.4,0
2018,MyCole Pruitt,TEN,26,te,15,1,11,9,81.8%,102,11.3,1,27,9.3,0.6,6.8,0
2018,Trey Quinn,WAS,23,wr,3,2,10,9,90.0%,75,8.3,1,15,7.5,3.0,25.0,0
2018,Michael Roberts,DET,24,te,8,2,20,9,45.0%,100,11.1,3,29,5.0,1.1,12.5,0
2018,Scott Simonson,NYG,26,te,16,4,14,9,64.3%,86,9.6,1,24,6.1,0.6,5.4,0
2018,Rod Smith,DAL,26,rb,16,1,12,9,75.0%,60,6.7,0,14,5.0,0.6,3.8,0
2018,Tavon Austin,DAL,28,,7,0,13,8,61.5%,140,17.5,2,64,10.8,1.1,20.0,0
2018,Cameron Batson,TEN,23,wr,11,2,11,8,72.7%,82,10.3,0,26,7.5,0.7,7.5,1
2018,Blake Bell,JAX,27,te,10,4,11,8,72.7%,67,8.4,0,16,6.1,0.8,6.7,0
2018,Jake Butt,DEN,23,te,3,3,13,8,61.5%,85,10.6,0,22,6.5,2.7,28.3,0
2018,Will Dissly,SEA,22,te,4,4,14,8,57.1%,156,19.5,2,66,11.1,2.0,39.0,0
2018,Andy Janovich,DEN,25,fb,16,7,10,8,80.0%,112,14.0,1,32,11.2,0.5,7.0,0
2018,Jake Kumerow,GNB,26,wr,5,2,11,8,72.7%,103,12.9,1,49,9.4,1.6,20.6,0
2018,Taquan Mizzell,CHI,25,wr,9,1,10,8,80.0%,78,9.8,1,26,7.8,0.9,8.7,0
